var_name,dtype
PID,int64
CM_ID,float64
GIS_ID,float64
ST_NUM,object
ST_NAME,object
ST_NAME_SUF,object
UNIT_NUM,object
ZIPCODE,float64
PTYPE,int64
LU,object
OWN_OCC,object
OWNER,object
MAIL_ADDRESSEE,object
MAIL_ADDRESS,object
MAIL CS,object
MAIL_ZIPCODE,object
AV_LAND,int64
AV_BLDG,int64
AV_TOTAL,int64
GROSS_TAX,int64
LAND_SF,float64
YR_BUILT,float64
YR_REMOD,float64
GROSS_AREA,float64
LIVING_AREA,float64
NUM_FLOORS,float64
STRUCTURE_CLASS,object
R_BLDG_STYL,object
R_ROOF_TYP,object
R_EXT_FIN,object
R_TOTAL_RMS,float64
R_BDRMS,float64
R_FULL_BTH,float64
R_HALF_BTH,float64
R_BTH_STYLE,object
R_BTH_STYLE2,object
R_BTH_STYLE3,object
R_KITCH,float64
R_KITCH_STYLE,object
R_KITCH_STYLE2,object
R_KITCH_STYLE3,object
R_HEAT_TYP,object
R_AC,object
R_FPLACE,float64
R_EXT_CND,object
R_OVRALL_CND,object
R_INT_CND,object
R_INT_FIN,object
R_VIEW,object
S_NUM_BLDG,float64
S_BLDG_STYL,object
S_UNIT_RES,float64
S_UNIT_COM,float64
S_UNIT_RC,float64
S_EXT_FIN,object
S_EXT_CND,object
U_BASE_FLOOR,float64
U_NUM_PARK,float64
U_CORNER,object
U_ORIENT,object
U_TOT_RMS,object
U_BDRMS,float64
U_FULL_BTH,float64
U_HALF_BTH,object
U_BTH_STYLE,object
U_BTH_STYLE2,object
U_BTH_STYLE3,object
U_KITCH_TYPE,object
U_KITCH_STYLE,object
U_HEAT_TYP,object
U_AC,object
U_FPLACE,float64
U_INT_FIN,object
U_INT_CND,object
U_VIEW,object
